jobName,jobAddrNoDesc,jobAddrNoDesc_en,custName,tech_skills,periodDesc,periodDesc_en,coIndustryDesc,coIndustryDesc_en,optionEdu,optionEdu_en
資深全端工程師│Full-stack Developer,新竹縣,Hsinchu County,路得潔淨科技股份有限公司,"AWS, C#, C++, CSS, HTML, Javascript, PostgreSQL, React, SQL",3年以上,3+ years,洗衣服務業,Laundry Services,學歷不拘,No degree required
React前端工程師,台中市,Taichung City,唯雲有限公司,"CSS, Git, HTML, Javascript, React",3年以上,3+ years,電腦系統整合服務業,System Integration,專科,Associate Degree
D4000 資訊課級主管,台北市,Taipei City,富邦媒體科技股份有限公司(富邦momo),"Java, Spring",5年以上,5+ years,百貨相關業,Department Stores,大學,Bachelor's Degree
(Sr.) Frontend Developer,台北市,Taipei City,彼特思方舟股份有限公司,"CSS, HTML, RWD, React, Vue",5年以上,5+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
I3811 物聯網後端Java工程師,台北市,Taipei City,遠傳電信股份有限公司,,5年以上,5+ years,電信相關業,Telecom,大學,Bachelor's Degree
初階工程師,新北市,New Taipei City,維宜科技股份有限公司,,經歷不拘,Experience not required,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
【資訊處】Java軟體開發工程師,台北市,Taipei City,安達國際人壽保險股份有限公司,"Java, Oracle, SQL",5年以上,5+ years,人身保險業,Life Insurance,專科,Associate Degree
資深軟體工程師(高雄),高雄市,Kaohsiung City,凌誠科技股份有限公司,"C#, Javascript, SQL",2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
軟體開發整合與研究(實習),台北市,Taipei City,綠光能數位有限公司,Python,經歷不拘,Experience not required,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
全端工程師,台中市,Taichung City,新夥伴科技股份有限公司,"CSS, Git, HTML, Javascript, RWD",經歷不拘,Experience not required,電腦系統整合服務業,System Integration,專科,Associate Degree
前端開發工程師,台北市,Taipei City,浩園科技股份有限公司,"Angular, React",1年以上,1+ year,電腦軟體服務業,Software Services,高中,High School Diploma
網頁前端開發助理工程師,台北市,Taipei City,迪普資訊整合有限公司,"CSS, HTML, Javascript",1年以上,1+ year,電腦系統整合服務業,System Integration,專科,Associate Degree
【生產中心】自動化軟體副理,新北市,New Taipei City,圓展科技股份有限公司,,3年以上,3+ years,光電產業,Optoelectronics,專科,Associate Degree
JI5001-製造資訊整合軟體工程師-新竹區,新竹縣,Hsinchu County,頎邦科技股份有限公司,".NET, C#, Git, SQL",2年以上,2+ years,半導體製造業,Semiconductor Manufacturing,大學,Bachelor's Degree
.Net 軟體工程師,台北市,Taipei City,華威數位財金科技股份有限公司,".NET, Angular, C#, Git, Oracle",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
程式設計師-政金部(PS170),新北市,New Taipei City,資拓宏宇國際股份有限公司,,2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
軟體開發系統分析師（System Analyst）,台北市,Taipei City,映像有限公司,".NET, C#, SQL",2年以上,2+ years,電腦系統整合服務業,System Integration,專科,Associate Degree
全端工程師,台北市,Taipei City,優式機器人股份有限公司,"AWS, Node.js, React, SQL, Vue",經歷不拘,Experience not required,消費性電子產品製造業,Consumer Electronics,專科,Associate Degree
軟體開發工程師(嘉義/台中/遠端),嘉義縣,Chiayi County,新樂飛無人機股份有限公司,"Git, HTML, Java, SQL, Spring",3年以上,3+ years,航空器及其零件製造修配業,Aircraft Manufacturing,專科,Associate Degree
【總公司】供應鏈管理工程師（Supply Chain Engineer） - (智慧倉儲部),台北市,Taipei City,嘉里大榮物流股份有限公司,,1年以上,1+ year,汽車貨運業,Truck Transportation,大學,Bachelor's Degree
軟體工程師,台中市,Taichung City,黎明工程顧問股份有限公司,".NET, CSS, HTML, Javascript, SQL",經歷不拘,Experience not required,土木工程業,Civil Engineering,碩士,Master's Degree
B03-軟體工程師(PG)_旅遊營運系統部_遊程系統組,台北市,Taipei City,雄獅資訊科技股份有限公司,"HTML, Javascript, Vue",1年以上,1+ year,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【總公司】供應鏈管理工程師（Supply Chain Engineer） - (智慧倉儲部),台北市,Taipei City,嘉里大榮物流股份有限公司,,1年以上,1+ year,汽車貨運業,Truck Transportation,大學,Bachelor's Degree
電腦整合製造工程師(楊梅廠),桃園市,Taoyuan City,華新科技股份有限公司,,2年以上,2+ years,被動電子元件製造業,Passive Components,大學,Bachelor's Degree
軟體工程師,新北市,New Taipei City,一路發集運網股份有限公司,"C#, Git, Java, PostgreSQL, SQL, Vue",經歷不拘,Experience not required,貨運承攬業,Freight Forwarding,專科,Associate Degree
Frontend Engineer_ReactJs(on call另享津貼、補休),台北市,Taipei City,伯克斯科技有限公司,"C#, CSS, HTML, Javascript, SQL",經歷不拘,Experience not required,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
後端工程師,新北市,New Taipei City,威沃創新股份有限公司,PostgreSQL,經歷不拘,Experience not required,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
遊戲部門 PHP程式設計師,台北市,Taipei City,奔騰雲創有限公司,Java,3年以上,3+ years,電腦軟體服務業,Software Services,專科,Associate Degree
Windows 開發工程師,台中市,Taichung City,艾捷科技有限公司,,2年以上,2+ years,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
【專案駐點】Java工程師B（新竹）,新竹縣,Hsinchu County,翰霖科技資訊股份有限公司,"C++, Java, Oracle, Spring",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
技術研發處_後端工程師,台北市,Taipei City,博弘雲端科技股份有限公司,"AWS, Azure, Django, Git, Java, MongoDB, PostgreSQL, Python",2年以上,2+ years,網際網路相關業,Internet,大學,Bachelor's Degree
【自營部】軟體工程師,台北市,Taipei City,群益期貨股份有限公司,"C#, C++",1年以上,1+ year,其他投資理財相關業,Other Investment,大學,Bachelor's Degree
APP開發工程師,新北市,New Taipei City,金翰科技有限公司,"Git, PostgreSQL",經歷不拘,Experience not required,電腦系統整合服務業,System Integration,專科,Associate Degree
前端軟體工程師(SRDBU),新竹市,Hsinchu City,譁裕實業股份有限公司,,5年以上,5+ years,其他電子零組件相關業,Other Electronic Components,大學,Bachelor's Degree
軟體工程師,台北市,Taipei City,旅天下聯合國際旅行社股份有限公司,,2年以上,2+ years,旅遊服務業,Tourism,專科,Associate Degree
Android 工程師,新北市,New Taipei City,AmazingTalker_香港商驚奇學習有限公司台灣分公司,Java,經歷不拘,Experience not required,網際網路相關業,Internet,專科,Associate Degree
ASP.NET MVC/.NET Core 軟體工程師,台北市,Taipei City,"E-Century Information &amp; Technology Co., Ltd._先得利資訊科技股份有限公司","C#, SQL",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
前端工程師 Frontend Developer,台北市,Taipei City,英屬維京群島商智車有限公司台灣分公司,"CSS, Git, HTML, Javascript, RWD, Vue",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
React前端工程師(臺中),台中市,Taichung City,晶茂資訊科技股份有限公司,"CSS, HTML, React",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
JAVA PG(大安區),台北市,Taipei City,康翔科技股份有限公司,"SQL, Spring",經歷不拘,Experience not required,其它軟體及網路相關業,Other IT,專科,Associate Degree
【研發處/系統部】軟體工程師 (控制系統),基隆市,Keelung City,台船動力科技股份有限公司,,3年以上,3+ years,其他運輸工具及零件製造修配業,Other Transport Manufacturing,專科,Associate Degree
【 BRICKS 】軟體工程師/資深軟體工程師 Senior Software Engineer,台北市,Taipei City,方塊磚智慧顯示股份有限公司,"C++, Java, Javascript, React",2年以上,2+ years,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
Sr. Software Engineer - Backend,台北市,Taipei City,新加坡商雲科有限公司,,5年以上,5+ years,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
C# 系統工程師（穩定專案 + 雲端導入機會）,台北市,Taipei City,梵谷科技股份有限公司,".NET, C#, Git, SQL",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
AI工程師- AI 教育系統 (50K-80K),台北市,Taipei City,雲書苑教育科技有限公司,"MongoDB, Node.js, Typescript",1年以上,1+ year,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
助理工程師,台中市,Taichung City,巨兆數位有限公司,"C#, Javascript, Python, Typescript",經歷不拘,Experience not required,網際網路相關業,Internet,學歷不拘,No degree required
【台北】全端工程師 Full Stack Engineer,台北市,Taipei City,優必闊科技股份有限公司,"Angular, Git, Node.js, Python, React, Vue",3年以上,3+ years,其他電信及通訊相關業,Other Telecom,大學,Bachelor's Degree
【智慧製造】前端工程師 (山鶯廠區),桃園市,Taoyuan City,欣興電子股份有限公司,"RWD, React, Vue",1年以上,1+ year,印刷電路板製造業(PCB),PCB Manufacturing,大學,Bachelor's Degree
【中和】PHP工程師,新北市,New Taipei City,搜博科技股份有限公司,,1年以上,1+ year,網際網路相關業,Internet,大學,Bachelor's Degree
視覺事業處_前端工程師 Frontend Developer,台北市,Taipei City,所羅門股份有限公司,"Git, Javascript, Vue",經歷不拘,Experience not required,自動控制相關業,Automation,大學,Bachelor's Degree
【資訊板塊】系統分析師_I00013519,台北市,Taipei City,國泰世華商業銀行股份有限公司,,3年以上,3+ years,銀行業,Banking,大學,Bachelor's Degree
【ReMo】台中 - 後端工程師 Backend Engineer,台中市,Taichung City,ReMo瑞摩智能_肆時資訊設計有限公司,"CSS, HTML, MongoDB, Node.js",2年以上,2+ years,電腦軟體服務業,Software Services,專科,Associate Degree
遊戲後端工程師,桃園市,Taoyuan City,香港商天宏軟體製作有限公司台灣分公司,"C#, C++, CSS, Git, HTML, Java, Javascript",4年以上,4+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【資訊板塊】Backend Engineer資深後端工程師-企業金融 Global B2B_I00016809,台北市,Taipei City,國泰世華商業銀行股份有限公司,".NET, C#, Git, Javascript, SQL",5年以上,5+ years,銀行業,Banking,大學,Bachelor's Degree
(DPE) Developer Program Engineer 軟體技術支援工程師  | 智慧家庭 | 工作地點: 新北市,新北市,New Taipei City,Tezerakt_美商立方體有限公司台灣分公司,"C++, Java, Javascript, Python",5年以上,5+ years,工商顧問服務業,Business Consulting,專科,Associate Degree
React 前端工程師,台北市,Taipei City,大塊系統工程股份有限公司,".NET, CSS, Git, HTML, Javascript, RWD, React, Typescript",1年以上,1+ year,電腦系統整合服務業,System Integration,專科,Associate Degree
軟體工程師(政府標案專案),新北市,New Taipei City,綠易股份有限公司,,5年以上,5+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
數位科技中心 徵聘 React 前端程式設計師（歡迎應屆畢業生、轉職新手）,台北市,Taipei City,中國文化大學_推廣教育部,"Javascript, React",經歷不拘,Experience not required,大專校院教育事業,Higher Education,專科,Associate Degree
G5S0-後端軟體資深工程師(北投),台北市,Taipei City,康舒科技股份有限公司,"Java, Node.js, PostgreSQL, SQL, Spring",6年以上,6+ years,其他電子零組件相關業,Other Electronic Components,大學,Bachelor's Degree
Front-End Engineer 前端工程師,台北市,Taipei City,宸忻科技有限公司,"CSS, HTML, Javascript, RWD, Typescript, Vue",經歷不拘,Experience not required,電腦系統整合服務業,System Integration,專科,Associate Degree
後端工程師,台北市,Taipei City,奇威雲端科技有限公司,"AWS, Azure, Git, Java, MongoDB, Node.js, PostgreSQL, Python, SQL",3年以上,3+ years,網際網路相關業,Internet,專科,Associate Degree
"C#, .Net  軟體工程師(高雄)",高雄市,Kaohsiung City,雲端達人科技股份有限公司,".NET, C#, Git, Javascript",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【H5】前端開發工程師,台北市,Taipei City,綠色遊戲有限公司,,3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
資訊工程師,高雄市,Kaohsiung City,三芳化學工業股份有限公司,"C#, SQL",經歷不拘,Experience not required,塑膠製品製造業,Plastic Manufacturing,大學,Bachelor's Degree
【南科】AI Copilot 專案開發人力,台南市,Tainan City,卓凌科技有限公司,"Oracle, Python",3年以上,3+ years,其他半導體相關業,Other Semiconductor,專科,Associate Degree
全端工程師,台北市,Taipei City,云說股份有限公司,"CSS, Git, HTML, Javascript, Vue",1年以上,1+ year,電腦軟體服務業,Software Services,專科,Associate Degree
資深後端工程師｜Senior Back-End Engineer,台北市,Taipei City,哈彼科技股份有限公司,"AWS, Git, PostgreSQL, Typescript",5年以上,5+ years,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
Golang 後端工程師,台中市,Taichung City,塞席爾商華鑫有限公司,"Git, MongoDB",1年以上,1+ year,網際網路相關業,Internet,大學,Bachelor's Degree
AI應用工程師 / AI &amp; Automation Engineer,台北市,Taipei City,"大江生醫股份有限公司(TCI CO., Ltd)","AWS, Azure, MongoDB, Node.js, PostgreSQL, Python, SQL",3年以上,3+ years,生化科技研發業,Biotech R&D,大學,Bachelor's Degree
遊戲前端工程師(Cocos),高雄市,Kaohsiung City,盛欣網絡科技有限公司,"Git, Java, Typescript",經歷不拘,Experience not required,網際網路相關業,Internet,大學,Bachelor's Degree
高階ReactJS工程師/使用者體驗設計師（Senior ReactJS RD/UX Designer ）,新竹市,Hsinchu City,聆機科技股份有限公司,"Javascript, React, Typescript",3年以上,3+ years,其它軟體及網路相關業,Other IT,專科,Associate Degree
PHP工程師,高雄市,Kaohsiung City,世瑋國際有限公司,"Javascript, SQL",3年以上,3+ years,工商顧問服務業,Business Consulting,專科,Associate Degree
【Babylon.js / React 工程師｜打造沉浸式3D互動新體驗】,新北市,New Taipei City,環耀實境有限公司,"Git, Javascript, React, Typescript",2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
後端工程師(Java),台中市,Taichung City,塞席爾商瑞迪寰宇股份有限公司台灣分公司,,1年以上,1+ year,電腦及其週邊設備製造業,Computer Hardware,大學,Bachelor's Degree
開發工程師 - AI 產品,台北市,Taipei City,英屬開曼群島商樂威科股份有限公司,,3年以上,3+ years,專門設計相關業,Design Services,大學,Bachelor's Degree
前端工程師 Frontend Engineer,台北市,Taipei City,星詠數位科技股份有限公司,"CSS, Git, React",1年以上,1+ year,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
軟體後端工程師 (台南),台南市,Tainan City,宏苑有限公司,".NET, AWS, Azure, C#, Git, MongoDB",2年以上,2+ years,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
後端工程師 (Autodesk Revit API),高雄市,Kaohsiung City,萃思科技股份有限公司,"AWS, Azure, C#, Git, PostgreSQL, SQL",2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Java / js 後端工程師,台北市,Taipei City,宏益科技服務股份有限公司,"Git, HTML, Java, Javascript, Spring",3年以上,3+ years,電腦軟體服務業,Software Services,專科,Associate Degree
資深前端工程師_汐止_03362,新北市,New Taipei City,緯創資通股份有限公司,"CSS, Git, HTML, Javascript, React, Vue",3年以上,3+ years,電腦及其週邊設備製造業,Computer Hardware,大學,Bachelor's Degree
後端工程師(新北市三重區),新北市,New Taipei City,鞍泰智造股份有限公司,".NET, C#, Git, PostgreSQL",2年以上,2+ years,電腦系統整合服務業,System Integration,學歷不拘,No degree required
前端工程師 - 高雄,高雄市,Kaohsiung City,尚承科技股份有限公司,"CSS, Git, HTML, Javascript, React",3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
後端工程師(新北市三重區),新北市,New Taipei City,鞍泰智造股份有限公司,".NET, C#, Git, PostgreSQL",2年以上,2+ years,電腦系統整合服務業,System Integration,學歷不拘,No degree required
【台中】前端工程師/Front-end Developer(保障年薪13個月)-部分遠端,台中市,Taichung City,新逸資訊科技有限公司,"Angular, CSS, Git, HTML, Javascript, Vue",經歷不拘,Experience not required,其它軟體及網路相關業,Other IT,專科,Associate Degree
Vue前端工程師,台北市,Taipei City,鼎琉股份有限公司,"Typescript, Vue",3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
#年均薪14個月+↑#近北車【知名金控 | Java 工程師】歡迎各產業人才 | 2-3年經歷即可 | BIS_210,台北市,Taipei City,藝珂人事顧問股份有限公司,Java,經歷不拘,Experience not required,人力仲介代徵,Recruitment Agency,專科,Associate Degree
Golang 後端開發工程師,台北市,Taipei City,時刻無限股份有限公司,"Git, MongoDB, PostgreSQL",1年以上,1+ year,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Fullstack Engineer(AI未來科技部),台北市,Taipei City,TVBS_聯利媒體股份有限公司,,6年以上,6+ years,電視業,TV Broadcasting,大學,Bachelor's Degree
Web全端工程師｜打造物流智慧系統的核心技術力,台中市,Taichung City,承穎科技有限公司,"C#, Git, SQL, Vue",2年以上,2+ years,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
後端工程師,高雄市,Kaohsiung City,博敦電子股份有限公司,,1年以上,1+ year,消費性電子產品製造業,Consumer Electronics,專科,Associate Degree
資訊科技_核心系統程式設計人員【2025新鮮人職缺】,台北市,Taipei City,O-Bank_王道商業銀行股份有限公司,,經歷不拘,Experience not required,銀行業,Banking,大學,Bachelor's Degree
D4000 前端工程師【台中】,台中市,Taichung City,富邦媒體科技股份有限公司(富邦momo),"Javascript, React",1年以上,1+ year,百貨相關業,Department Stores,專科,Associate Degree
Junior Front-End Engineer 網頁前端工程師,台北市,Taipei City,台灣糧品股份有限公司,"CSS, Git, HTML, Javascript, React",經歷不拘,Experience not required,綜合商品批發代理業,General Wholesale,大學,Bachelor's Degree
【廣錠能源研發部】軟韌體工程師,新北市,New Taipei City,廣錠科技股份有限公司,,經歷不拘,Experience not required,其他電子零組件相關業,Other Electronic Components,大學,Bachelor's Degree
總經理特助(SD),台北市,Taipei City,力新國際科技股份有限公司,,5年以上,5+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
醫檢儀器連線開發工程師,高雄市,Kaohsiung City,優品生醫股份有限公司,,經歷不拘,Experience not required,其他醫療保健服務業,Other Healthcare,專科,Associate Degree
AI工程師 (資深工程師/副理/經理)桃園蘆竹區,桃園市,Taoyuan City,永冠興業股份有限公司,Python,3年以上,3+ years,其他金屬相關製造業,Other Metal Manufacturing,大學,Bachelor's Degree
Front-End Developer 前端工程師,台北市,Taipei City,怎漾數位創意股份有限公司,"CSS, Git, Javascript, RWD, Typescript, Vue",1年以上,1+ year,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
Full Stack Engineer 全端工程師,台北市,Taipei City,銳光管理顧問有限公司,,3年以上,3+ years,工商顧問服務業,Business Consulting,大學,Bachelor's Degree
I3911 Java後端開發工程師,台北市,Taipei City,遠傳電信股份有限公司,,1年以上,1+ year,電信相關業,Telecom,大學,Bachelor's Degree
研發高級工程師(Python),新北市,New Taipei City,阜爾集團(股票代碼6914)_阜爾運通股份有限公司,,經歷不拘,Experience not required,停車場業,Parking,專科,Associate Degree
【內湖】軟體及測試實習生,台北市,Taipei City,勝圖國際企業股份有限公司,,經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
前端工程師,台南市,Tainan City,成創永續股份有限公司,"CSS, Git, HTML, Javascript, Vue",1年以上,1+ year,工商顧問服務業,Business Consulting,大學,Bachelor's Degree
"前端工程師 - Engineering, AI &amp; Data - T&amp;T - Taipei",台北市,Taipei City,DELOITTE CONSULTING BUSINESSES_勤業眾信管理顧問股份有限公司,Vue,經歷不拘,Experience not required,工商顧問服務業,Business Consulting,大學,Bachelor's Degree
【TenMax】AI 解決方案工程師,台北市,Taipei City,騰學廣告科技股份有限公司,"AWS, Azure",3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
元大證券-數位金融部-軟體工程師(全端工程師),台北市,Taipei City,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),,經歷不拘,Experience not required,金融控股業,Financial Holding,大學,Bachelor's Degree
網站工程師,台南市,Tainan City,創奕科技企業社,"CSS, Git, HTML, Javascript, React",經歷不拘,Experience not required,電腦軟體服務業,Software Services,學歷不拘,No degree required
【擴編】(資訊課)程式設計師,台中市,Taichung City,台灣綠金家園有限公司,C#,1年以上,1+ year,食品什貨零售業,Food Retail,大學,Bachelor's Degree
Python 工程師 / 後端工程師,台中市,Taichung City,葛拉漢費雪林區股份有限公司,"Git, MongoDB, Python, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,學歷不拘,No degree required
Cocos前端⼯程師,高雄市,Kaohsiung City,潤鑫資訊有限公司,Git,2年以上,2+ years,數位內容產業,Digital Content,高中,High School Diploma
軟體工程師,台中市,Taichung City,雲康世紀股份有限公司,".NET, C#, Git, Javascript, SQL",經歷不拘,Experience not required,食品什貨零售業,Food Retail,專科,Associate Degree
軟體工程師[雲端及資安事業部],新北市,New Taipei City,新達科技股份有限公司,".NET, AWS, Angular, Azure, C#, CSS, Git, HTML, Javascript, RWD, SQL",2年以上,2+ years,電腦系統整合服務業,System Integration,專科,Associate Degree
Machine Learning Engineer 機器學習工程師,台北市,Taipei City,17LIVE_藝啟股份有限公司,"AWS, C++, Python, SQL",2年以上,2+ years,網際網路相關業,Internet,大學,Bachelor's Degree
D4000 前端工程師【台北】,台北市,Taipei City,富邦媒體科技股份有限公司(富邦momo),"Javascript, React",1年以上,1+ year,百貨相關業,Department Stores,專科,Associate Degree
資深軟體開發工程師,桃園市,Taoyuan City,偕湛國際股份有限公司,".NET, C#, Git, SQL",經歷不拘,Experience not required,建築及工程技術服務業,Engineering Services,大學,Bachelor's Degree
程式設計師,高雄市,Kaohsiung City,立揚通運股份有限公司,"C#, Python",經歷不拘,Experience not required,儲配／運輸物流業,Logistics,專科,Associate Degree
C++遊戲資深工程師,台北市,Taipei City,詠富國際數位有限公司,".NET, C#, C++",5年以上,5+ years,電腦軟體服務業,Software Services,專科,Associate Degree
PD後端工程師,台中市,Taichung City,長佳智能股份有限公司,"PostgreSQL, Python",2年以上,2+ years,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
資料工程師/後端工程師,新北市,New Taipei City,銓鍇國際股份有限公司,"MongoDB, Python",經歷不拘,Experience not required,網際網路相關業,Internet,專科,Associate Degree
M-軟體開發工程師,新竹市,Hsinchu City,盛威資訊服務股份有限公司,"Angular, Git, Java, MongoDB, Oracle, Python, React",5年以上,5+ years,電腦軟體服務業,Software Services,專科,Associate Degree
前端開發工程師 (Vue.js 3 / Flutter),台北市,Taipei City,鴻達客服科技有限公司,"CSS, Git, HTML, Javascript, Vue",3年以上,3+ years,電腦系統整合服務業,System Integration,專科,Associate Degree
前端開發工程師 (Vue.js 3 / Flutter),台北市,Taipei City,鴻達客服科技有限公司,"CSS, Git, HTML, Javascript, Vue",3年以上,3+ years,電腦系統整合服務業,System Integration,專科,Associate Degree
前端/網頁設計師(高雄),高雄市,Kaohsiung City,雲端達人科技股份有限公司,"Angular, CSS, Git, HTML, RWD, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
全端工程師,高雄市,Kaohsiung City,東台精機股份有限公司,,經歷不拘,Experience not required,專用生產機械製造修配業,Special Machinery,大學,Bachelor's Degree
RPA自動化軟體工程師-3DW283,台北市,Taipei City,敦新科技股份有限公司,,2年以上,2+ years,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
[Web]資深 Python 後端工程師,桃園市,Taoyuan City,辰詮國際投資顧問有限公司,"AWS, Django, MongoDB, PostgreSQL, Python",5年以上,5+ years,工商顧問服務業,Business Consulting,專科,Associate Degree
【擴編】資深前端工程師 Senior Frontend Developer,台北市,Taipei City,思量科技有限公司,"CSS, HTML, Javascript, Typescript, Vue",3年以上,3+ years,電腦軟體服務業,Software Services,學歷不拘,No degree required
【資訊板塊】iOS APP Developer_I00009994,台北市,Taipei City,國泰世華商業銀行股份有限公司,,2年以上,2+ years,銀行業,Banking,學歷不拘,No degree required
軟體工程師(JAVA)_台北,台北市,Taipei City,數美科技股份有限公司,"Git, Java, SQL, Spring",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【AI節能-軟體工程師】（系統整合／IoT 後端）彈性上班/同事可愛/福利多多,桃園市,Taoyuan City,台灣愛淨節能科技股份有限公司,"AWS, Git, PostgreSQL, Python",2年以上,2+ years,其他專業／科學及技術業,Other Professional Services,學歷不拘,No degree required
MKT_ Web Developer / 網站工程師,新竹市,Hsinchu City,Zyxel Networks_兆勤科技股份有限公司(合勤集團),AWS,經歷不拘,Experience not required,通訊機械器材相關業,Communications Equipment,大學,Bachelor's Degree
【程式設計師】總部-台北,台北市,Taipei City,南僑投資控股股份有限公司,"Oracle, SQL",5年以上,5+ years,食用油品及榖製品製造業,Edible Oil & Grain,大學,Bachelor's Degree
資深PHP後端工程師(Senior PHP Backend Developer),台中市,Taichung City,樂菓資訊有限公司,"AWS, Git, Javascript",3年以上,3+ years,網際網路相關業,Internet,專科,Associate Degree
前端工程師 Frontend Engineer,台北市,Taipei City,十論科技股份有限公司,"React, Typescript",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
前端工程師 實習生,台北市,Taipei City,安永金融科技股份有限公司,"AWS, Angular, CSS, Git, HTML, Javascript, Node.js, React, Typescript, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,專科,Associate Degree
軟體工程師Java_101F,台北市,Taipei City,金財通商務科技服務股份有限公司,"CSS, HTML, Java, Javascript, SQL, Spring",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
網頁前端工程師,台北市,Taipei City,天網數位有限公司,"Angular, CSS, Git, HTML, Typescript",1年以上,1+ year,電腦軟體服務業,Software Services,專科,Associate Degree
資深後端工程師(PHP / C#) | iGaming industry,台北市,Taipei City,LRS_英屬維京群島商杰恒國際有限公司台灣分公司,".NET, C#, Git, SQL",3年以上,3+ years,人力仲介代徵,Recruitment Agency,高中以下,Below High School
JAVA 工程師,台北市,Taipei City,FPT_艾福提資訊有限公司,"Angular, Git, React, Spring, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,專科,Associate Degree
網頁設計師(Wordpress),台北市,Taipei City,桑日創意行銷有限公司,RWD,經歷不拘,Experience not required,電腦軟體服務業,Software Services,學歷不拘,No degree required
【資訊板塊】核心系統工程師 (海外市場)_I00020290,台北市,Taipei City,國泰世華商業銀行股份有限公司,Git,1年以上,1+ year,銀行業,Banking,大學,Bachelor's Degree
科技部門主管,台北市,Taipei City,普匯金融科技股份有限公司,,5年以上,5+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
有風【後端工程師】,台北市,Taipei City,一方生活_秀家企業股份有限公司,,經歷不拘,Experience not required,不動產經營業,Real Estate,專科,Associate Degree
軟體助理工程師,台北市,Taipei City,博格科技股份有限公司,".NET, C#, HTML, SQL",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
TA4825 前端/全端開發主任工程師/副理,台北市,Taipei City,致伸科技股份有限公司,AWS,5年以上,5+ years,電腦及其週邊設備製造業,Computer Hardware,碩士,Master's Degree
Web Developer / Junior or Senior,台中市,Taichung City,優果科技股份有限公司,"C#, CSS, Javascript, SQL",1年以上,1+ year,電腦軟體服務業,Software Services,大學,Bachelor's Degree
全端工程師,桃園市,Taoyuan City,智遊旅程股份有限公司,".NET, AWS, Azure, C#, C++, CSS, HTML, Javascript, Node.js, Python, RWD, React, Vue",5年以上,5+ years,其它軟體及網路相關業,Other IT,大學,Bachelor's Degree
Senior Frontend engineer,台北市,Taipei City,臺灣通用紡織科技股份有限公司,"AWS, CSS, Git, HTML, Javascript, RWD, Vue",3年以上,3+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
