jobName,jobAddrNoDesc,jobAddrNoDesc_en,custName,tech_skills,periodDesc,periodDesc_en,coIndustryDesc,coIndustryDesc_en,optionEdu,optionEdu_en
全端開發工程師,台北市,Taipei City,太奇智聯股份有限公司,"MongoDB, Oracle, Python, Vue",經歷不拘,Experience not required,電腦系統整合服務業,System Integration,專科,Associate Degree
Technical Developer,台北市,Taipei City,Edenred_新加坡商宜睿智慧股份有限公司台灣分公司,".NET, AWS, Azure, C#, CSS, Git, HTML, Javascript",3年以上,3+ years,其他金融及輔助業,Other Finance,大學,Bachelor's Degree
(台中) PHP  工程師,台中市,Taichung City,樂艷有限公司,"Javascript, SQL",經歷不拘,Experience not required,廣告行銷公關業,Advertising & PR,學歷不拘,No degree required
研發部 | 前端工程師(Vue.js) | Frontend developer,台北市,Taipei City,城智科技股份有限公司,"Git, Typescript, Vue",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Backend Engineer後端工程師,台北市,Taipei City,香港商蒙卓有限公司台灣分公司,"Javascript, MongoDB, Node.js, Typescript",3年以上,3+ years,網際網路相關業,Internet,大學,Bachelor's Degree
程式設計師,高雄市,Kaohsiung City,美樂蒂文教科技興業股份有限公司,"AWS, Azure, Javascript, MongoDB, React, Typescript",經歷不拘,Experience not required,書籍出版業,Book Publishing,大學,Bachelor's Degree
H5遊戲後端工程師,桃園市,Taoyuan City,勝鑫科技股份有限公司,"C#, CSS, Git, HTML, Javascript, MongoDB, React, Vue",經歷不拘,Experience not required,網際網路相關業,Internet,學歷不拘,No degree required
React 前端工程師,台南市,Tainan City,友達宇沛永續科技股份有限公司,"CSS, HTML, Javascript, React, Typescript",3年以上,3+ years,環境衛生及污染防治服務業,Environmental Services,大學,Bachelor's Degree
C# 軟體工程師,新北市,New Taipei City,帕特萊克有限公司,".NET, C#, SQL",經歷不拘,Experience not required,電腦系統整合服務業,System Integration,專科,Associate Degree
前端工程師｜全端工程師｜網站維護與開發(數位事業處國教服務部),新北市,New Taipei City,康軒文教事業股份有限公司,React,經歷不拘,Experience not required,書籍出版業,Book Publishing,大學,Bachelor's Degree
網頁後端工程師,高雄市,Kaohsiung City,迪傑魔股份有限公司,C#,經歷不拘,Experience not required,網際網路相關業,Internet,高中,High School Diploma
資深 Cocos 遊戲前端工程師 (可遠端),新北市,New Taipei City,銀月數位顧問股份有限公司,,5年以上,5+ years,網際網路相關業,Internet,專科,Associate Degree
.NET 軟體工程師(宜蘭研發中心),宜蘭縣,Yilan County,阿甘科技股份有限公司,SQL,經歷不拘,Experience not required,電腦系統整合服務業,System Integration,專科,Associate Degree
JAVA後端工程師,台中市,Taichung City,瑋恆科技有限公司,"Java, SQL, Spring",1年以上,1+ year,電腦軟體服務業,Software Services,大學,Bachelor's Degree
軟體助理工程師,台北市,Taipei City,博格科技股份有限公司,".NET, C#, HTML, SQL",經歷不拘,Experience not required,電腦軟體服務業,Software Services,大學,Bachelor's Degree
Full-Stack Engineer 全端工程師,桃園市,Taoyuan City,智穎智能股份有限公司,"Git, Javascript, MongoDB, Node.js, PostgreSQL, Python, React, Typescript, Vue",2年以上,2+ years,其它軟體及網路相關業,Other IT,專科,Associate Degree
軟體開發後端工程師 （Windchill PLM - 台北）,台北市,Taipei City,嘉航科技股份有限公司,,2年以上,2+ years,電腦軟體服務業,Software Services,大學,Bachelor's Degree
【產品研發】資深前端工程師,台北市,Taipei City,PIXNET_優像數位媒體科技股份有限公司,"CSS, Git, HTML, Javascript, Node.js, React, Vue",5年以上,5+ years,多媒體傳播相關業,Multimedia,專科,Associate Degree
前端設計師,台中市,Taichung City,呈明影像科技有限公司,,經歷不拘,Experience not required,多媒體傳播相關業,Multimedia,大學,Bachelor's Degree
全端工程師,台北市,Taipei City,眾智資訊股份有限公司,".NET, C#, CSS, Git, Javascript, SQL, Typescript, Vue",1年以上,1+ year,電腦軟體服務業,Software Services,專科,Associate Degree
Performance Engineer（工作地點：板橋）,新北市,New Taipei City,印度商威普羅股份有限公司台灣分公司,"Git, Python",2年以上,2+ years,電腦系統整合服務業,System Integration,專科,Associate Degree
網站工程師（Website Enginner）,台北市,Taipei City,艾思網絡股份有限公司,"CSS, HTML, MongoDB",1年以上,1+ year,網際網路相關業,Internet,專科,Associate Degree
【後端】軟體工程師,台北市,Taipei City,簡單智慧科技股份有限公司,"C#, Git, SQL",3年以上,3+ years,電腦系統整合服務業,System Integration,大學,Bachelor's Degree
後端工程師.,台北市,Taipei City,數據雲科技股份有限公司,"AWS, Django, Git, PostgreSQL, Python, Typescript",3年以上,3+ years,網際網路相關業,Internet,大學,Bachelor's Degree
全端工程師 / Full Stack Engineer,台北市,Taipei City,禾多移動多媒體股份有限公司,AWS,經歷不拘,Experience not required,數位內容產業,Digital Content,大學,Bachelor's Degree
Full Stack Engineer 全端工程師,新北市,New Taipei City,ible Technology Inc_映寰科技股份有限公司,,經歷不拘,Experience not required,消費性電子產品製造業,Consumer Electronics,大學,Bachelor's Degree
AI前端工程師,台北市,Taipei City,數辰創藝科技股份有限公司,,經歷不拘,Experience not required,電腦軟體服務業,Software Services,學歷不拘,No degree required
前端工程師,台中市,Taichung City,金儀國際科技股份有限公司,,經歷不拘,Experience not required,其他電子零組件相關業,Other Electronic Components,大學,Bachelor's Degree
